game_id,player_id,move_number,column,result
0,2667,1,1,
0,432,2,1,
0,2667,3,2,
0,432,4,2,
0,2667,5,3,
0,432,6,1,
0,2667,7,2,
0,432,8,4,
0,2667,9,1,
0,432,10,2,
0,2667,11,3,
0,432,12,4,
0,2667,13,4,
0,432,14,3,
0,2667,15,3,
0,432,16,4,draw
1,3857,1,4,
1,351,2,1,
1,3857,3,2,
1,351,4,1,
1,3857,5,3,
1,351,6,4,
1,3857,7,2,
1,351,8,1,
1,3857,9,3,
1,351,10,2,
1,3857,11,3,
1,351,12,2,
1,3857,13,3,win
2,1123,1,3,
2,2289,2,1,
2,1123,3,2,
2,2289,4,2,
2,1123,5,3,
2,2289,6,1,
2,1123,7,2,
2,2289,8,4,
2,1123,9,4,
2,2289,10,2,
2,1123,11,1,
2,2289,12,1,
2,1123,13,3,
2,2289,14,3,
2,1123,15,4,win
3,672,1,3,
3,2987,2,4,
3,672,3,2,
3,2987,4,2,
3,672,5,4,
3,2987,6,4,
3,672,7,3,
3,2987,8,4,
3,672,9,3,
3,2987,10,2,
3,672,11,1,
3,2987,12,3,
3,672,13,2,
3,2987,14,1,
3,672,15,1,
3,2987,16,1,draw
4,2748,1,1,
4,2253,2,3,
4,2748,3,4,
4,2253,4,1,
4,2748,5,3,
4,2253,6,3,
4,2748,7,3,
4,2253,8,2,
4,2748,9,1,
4,2253,10,1,
4,2748,11,4,
4,2253,12,2,
4,2748,13,4,
4,2253,14,4,
4,2748,15,2,
4,2253,16,2,draw
5,2165,1,1,
5,446,2,1,
5,2165,3,3,
5,446,4,3,
5,2165,5,1,
5,446,6,1,
5,2165,7,3,
5,446,8,3,
5,2165,9,2,
5,446,10,2,
5,2165,11,4,win
6,2238,1,1,
6,2403,2,4,
6,2238,3,1,
6,2403,4,1,
6,2238,5,4,
6,2403,6,1,
6,2238,7,3,
6,2403,8,2,
6,2238,9,4,
6,2403,10,4,
6,2238,11,2,
6,2403,12,3,
6,2238,13,3,
6,2403,14,3,
6,2238,15,2,
6,2403,16,2,win
7,2940,1,4,
7,1713,2,4,
7,2940,3,2,
7,1713,4,3,
7,2940,5,3,
7,1713,6,2,
7,2940,7,1,
7,1713,8,2,
7,2940,9,2,
7,1713,10,4,
7,2940,11,3,
7,1713,12,3,
7,2940,13,4,
7,1713,14,1,
7,2940,15,1,
7,1713,16,1,draw
8,3810,1,4,
8,4684,2,4,
8,3810,3,2,
8,4684,4,1,
8,3810,5,1,
8,4684,6,2,
8,3810,7,1,
8,4684,8,2,
8,3810,9,3,
8,4684,10,3,
8,3810,11,3,
8,4684,12,2,
8,3810,13,1,
8,4684,14,3,
8,3810,15,4,
8,4684,16,4,draw
9,3167,1,4,
9,4287,2,3,
9,3167,3,1,
9,4287,4,3,
9,3167,5,2,
9,4287,6,2,
9,3167,7,3,
9,4287,8,1,
9,3167,9,3,
9,4287,10,4,win
10,4223,1,3,
10,991,2,1,
10,4223,3,2,
10,991,4,3,
10,4223,5,1,
10,991,6,3,
10,4223,7,1,
10,991,8,3,
10,4223,9,2,
10,991,10,1,
10,4223,11,2,
10,991,12,2,
10,4223,13,4,
10,991,14,4,
10,4223,15,4,
10,991,16,4,win
11,987,1,2,
11,1831,2,3,
11,987,3,3,
11,1831,4,1,
11,987,5,1,
11,1831,6,3,
11,987,7,1,
11,1831,8,2,
11,987,9,3,
11,1831,10,4,
11,987,11,2,
11,1831,12,4,
11,987,13,4,
11,1831,14,4,win
12,80,1,4,
12,1432,2,3,
12,80,3,2,
12,1432,4,1,
12,80,5,1,
12,1432,6,3,
12,80,7,4,
12,1432,8,2,
12,80,9,1,
12,1432,10,2,
12,80,11,3,
12,1432,12,2,
12,80,13,3,
12,1432,14,1,
12,80,15,4,
12,1432,16,4,draw
13,4169,1,2,
13,3853,2,2,
13,4169,3,4,
13,3853,4,4,
13,4169,5,3,
13,3853,6,3,
13,4169,7,4,
13,3853,8,4,
13,4169,9,2,
13,3853,10,1,
13,4169,11,2,
13,3853,12,3,win
14,2056,1,1,
14,3757,2,2,
14,2056,3,1,
14,3757,4,2,
14,2056,5,4,
14,3757,6,2,
14,2056,7,4,
14,3757,8,2,win
15,4070,1,4,
15,2336,2,3,
15,4070,3,1,
15,2336,4,4,
15,4070,5,3,
15,2336,6,4,
15,4070,7,2,
15,2336,8,2,
15,4070,9,2,
15,2336,10,4,
15,4070,11,3,
15,2336,12,3,
15,4070,13,1,
15,2336,14,1,
15,4070,15,2,
15,2336,16,1,draw
16,2153,1,3,
16,4494,2,1,
16,2153,3,1,
16,4494,4,2,
16,2153,5,1,
16,4494,6,4,
16,2153,7,2,
16,4494,8,2,
16,2153,9,3,
16,4494,10,2,
16,2153,11,4,win
17,1813,1,1,
17,2575,2,1,
17,1813,3,3,
17,2575,4,3,
17,1813,5,3,
17,2575,6,2,
17,1813,7,1,
17,2575,8,1,
17,1813,9,2,
17,2575,10,2,
17,1813,11,2,
17,2575,12,4,win
18,4611,1,2,
18,1222,2,3,
18,4611,3,2,
18,1222,4,4,
18,4611,5,2,
18,1222,6,1,
18,4611,7,3,
18,1222,8,2,
18,4611,9,3,
18,1222,10,4,
18,4611,11,3,
18,1222,12,4,
18,4611,13,4,
18,1222,14,1,
18,4611,15,1,
18,1222,16,1,draw
19,3003,1,3,
19,4276,2,3,
19,3003,3,4,
19,4276,4,4,
19,3003,5,2,
19,4276,6,4,
19,3003,7,4,
19,4276,8,1,
19,3003,9,3,
19,4276,10,3,
19,3003,11,1,
19,4276,12,1,
19,3003,13,2,
19,4276,14,2,
19,3003,15,1,
19,4276,16,2,draw
20,4353,1,2,
20,1484,2,1,
20,4353,3,2,
20,1484,4,3,
20,4353,5,3,
20,1484,6,3,
20,4353,7,2,
20,1484,8,1,
20,4353,9,4,
20,1484,10,2,
20,4353,11,4,
20,1484,12,4,
20,4353,13,4,
20,1484,14,3,
20,4353,15,1,
20,1484,16,1,draw
21,836,1,2,
21,2200,2,1,
21,836,3,2,
21,2200,4,4,
21,836,5,2,
21,2200,6,1,
21,836,7,1,
21,2200,8,4,
21,836,9,1,
21,2200,10,4,
21,836,11,4,
21,2200,12,3,
21,836,13,3,
21,2200,14,3,
21,836,15,2,win
22,716,1,2,
22,920,2,1,
22,716,3,3,
22,920,4,4,
22,716,5,1,
22,920,6,4,
22,716,7,4,
22,920,8,1,
22,716,9,2,
22,920,10,2,
22,716,11,1,
22,920,12,3,
22,716,13,3,
22,920,14,2,
22,716,15,4,
22,920,16,3,draw
23,1376,1,3,
23,3759,2,3,
23,1376,3,4,
23,3759,4,4,
23,1376,5,4,
23,3759,6,4,
23,1376,7,1,
23,3759,8,1,
23,1376,9,2,win
24,2948,1,3,
24,2142,2,2,
24,2948,3,4,
24,2142,4,2,
24,2948,5,4,
24,2142,6,1,
24,2948,7,4,
24,2142,8,2,
24,2948,9,3,
24,2142,10,3,
24,2948,11,2,
24,2142,12,4,win
25,4738,1,2,
25,4608,2,2,
25,4738,3,4,
25,4608,4,2,
25,4738,5,1,
25,4608,6,1,
25,4738,7,3,win
26,3729,1,2,
